training_seed,seed,episode_return,success,steps,action_energy,final_position
42,2068,98.16354974017365,True,379,18.364502598263538,0.4666087031364441
42,2069,98.18991860429063,True,486,18.100813957093752,0.4666087031364441
42,2070,98.5567814480715,True,417,14.432185519285039,0.4659067392349243
42,2071,98.62549301744217,True,309,13.745069825578291,0.457817405462265
42,2072,97.87465463154741,True,491,21.2534536845258,0.4666087031364441
42,2073,98.36141339218791,True,306,16.38586607812088,0.4666087031364441
42,2074,97.90388047922315,True,420,20.96119520776852,0.4666087031364441
42,2075,98.32001786312003,True,451,16.799821368799666,0.4666087031364441
42,2076,98.74244883949271,True,353,12.575511605072919,0.45156940817832947
42,2077,98.37568181890516,True,306,16.243181810948414,0.4666087031364441
42,2078,98.14267204021293,True,664,18.573279597870645,0.4666087031364441
42,2079,98.11394951854898,True,593,18.86050481451021,0.4666087031364441
42,2080,98.57627082574949,True,345,14.23729174250512,0.4605705440044403
42,2081,97.71992078352767,True,567,22.800792164723333,0.4666087031364441
42,2082,-0.6604533871242989,False,999,6.604533871242976,-0.7211795449256897
42,2083,98.39136433929004,True,307,16.086356607099624,0.4666087031364441
42,2084,97.70903663733209,True,398,22.909633626679067,0.4666087031364441
42,2085,97.53063646568975,True,549,24.69363534310237,0.4666087031364441
42,2086,98.40539818250839,True,346,15.946018174916084,0.4612480103969574
42,2087,97.43276976793148,True,726,25.672302320685162,0.4666087031364441
42,2088,97.96267260193481,True,489,20.37327398065184,0.4666087031364441
42,2089,98.53379080007645,True,345,14.66209199923547,0.46187302470207214
42,2090,98.03593012660177,True,665,19.640698733982322,0.4666087031364441
42,2091,97.93677715266091,True,419,20.632228473390875,0.4666087031364441
42,2092,98.5026401682655,True,381,14.97359831734506,0.46514010429382324
42,2093,98.39933496590986,True,307,16.006650340901473,0.4666087031364441
42,2094,98.25836787459397,True,342,17.41632125406021,0.4666087031364441
42,2095,98.70396994784215,True,310,12.960300521578484,0.4589707851409912
42,2096,97.74974533417087,True,427,22.502546658291287,0.4666087031364441
42,2097,98.54127719504612,True,345,14.587228049538712,0.4620971083641052
42,2098,97.79348962906927,True,775,22.065103709307312,0.4666087031364441
42,2099,98.06848816496634,True,522,19.315118350336565,0.4666087031364441
42,2100,98.02642859920371,True,487,19.735714007962784,0.4666087031364441
42,2101,98.57585185927206,True,345,14.241481407279243,0.4606131613254547
42,2102,97.67772505854815,True,432,23.222749414518546,0.4666087031364441
42,2103,98.4450715852961,True,310,15.549284147038993,0.4501282572746277
42,2104,98.11154838538084,True,451,18.884516146191498,0.4666087031364441
42,2105,98.53423092082782,True,309,14.657690791721727,0.45130884647369385
