policy,seed,episode_return,success,steps,action_energy,max_position,final_position
bang_bang,2118,92.10000000000002,True,79,79.0,0.49232837557792664,0.49232837557792664
bang_bang,2119,92.20000000000002,True,78,78.0,0.4688933789730072,0.4688933789730072
bang_bang,2120,92.20000000000002,True,78,78.0,0.45190662145614624,0.45190662145614624
bang_bang,2121,92.10000000000002,True,79,79.0,0.4771776795387268,0.4771776795387268
bang_bang,2122,91.90000000000002,True,81,81.0,0.5067603588104248,0.5067603588104248
bang_bang,2123,92.20000000000002,True,78,78.0,0.46305400133132935,0.46305400133132935
bang_bang,2124,92.20000000000002,True,78,78.0,0.45677468180656433,0.45677468180656433
bang_bang,2125,92.20000000000002,True,78,78.0,0.4553537666797638,0.4553537666797638
smooth_momentum,2026,93.70298769945308,True,147,62.970123005469276,0.49311336874961853,0.49311336874961853
smooth_momentum,2027,93.93773481560648,True,148,60.62265184393519,0.49311336874961853,0.49311336874961853
smooth_momentum,2028,93.32290477475622,True,148,66.77095225243764,0.49311336874961853,0.49311336874961853
smooth_momentum,2029,91.12990212245481,True,200,88.70097877545176,0.49311336874961853,0.49311336874961853
smooth_momentum,2030,93.30744152010772,True,148,66.92558479892277,0.49311336874961853,0.49311336874961853
smooth_momentum,2031,93.32476658784911,True,148,66.7523341215088,0.49311336874961853,0.49311336874961853
smooth_momentum,2032,93.02167805223452,True,150,69.78321947765475,0.49311336874961853,0.49311336874961853
smooth_momentum,2033,93.8134071141871,True,148,61.86592885812894,0.49311336874961853,0.49311336874961853
smooth_momentum,2034,93.86994028291141,True,148,61.30059717088575,0.49311336874961853,0.49311336874961853
smooth_momentum,2035,93.71823379807918,True,147,62.81766201920806,0.49311336874961853,0.49311336874961853
smooth_momentum,2036,96.66189687328338,True,85,33.38103126716615,0.4549659788608551,0.4549659788608551
smooth_momentum,2037,96.67430218826013,True,88,33.25697811739869,0.45009317994117737,0.45009317994117737
smooth_momentum,2038,92.61515543280778,True,155,73.84844567192211,0.49311336874961853,0.49311336874961853
smooth_momentum,2039,92.75619451393544,True,153,72.43805486064558,0.49311336874961853,0.49311336874961853
smooth_momentum,2040,92.46102784310465,True,157,75.38972156895349,0.49311336874961853,0.49311336874961853
smooth_momentum,2041,92.91397104051217,True,151,70.86028959487832,0.49311336874961853,0.49311336874961853
smooth_momentum,2042,93.02410378039673,True,150,69.75896219603273,0.49311336874961853,0.49311336874961853
smooth_momentum,2043,96.58395504961119,True,95,34.160449503887975,0.456734836101532,0.456734836101532
smooth_momentum,2044,93.16647244806914,True,149,68.33527551930848,0.49311336874961853,0.49311336874961853
smooth_momentum,2045,96.67824776073617,True,87,33.21752239263822,0.45099544525146484,0.45099544525146484
smooth_momentum,2046,93.28653071070327,True,148,67.13469289296715,0.49311336874961853,0.49311336874961853
smooth_momentum,2047,93.14042951245276,True,149,68.59570487547235,0.49311336874961853,0.49311336874961853
smooth_momentum,2048,91.8958758340458,True,170,81.04124165954198,0.49311336874961853,0.49311336874961853
smooth_momentum,2049,93.37936409377319,True,148,66.20635906226809,0.49311336874961853,0.49311336874961853
